_id,n_id,year,d_zone,district,area,public_place,private,official_place,temple_area,state_enterprise,elsewhere,overpass,bus_stop,park,shelter,vacant_land,commerce_building,entertainment_place,bridge,street,bridgesandroads,footpath,alley,village,market,tourist_attraction,academy,government,intersection,other,pier,promenade,footpathandalley,gardens_bridges,skytrain_station,tunnelundertheroad,sports_center,transport_station,religious_place,under_bridges,lonely_night,lone_day,blind_spot,desolate,dirty,old_building,damaged_light,obstructing_traffic,homeless,mingling_source,mayhem,extortion,accident_r,accident_f,accident_e,accident_s,accident_t,accident_o,harass,chaotically,danger_animals,landmark,crime_sexual,breeding_patho,other_risk,surveillance,clean,tree_pruning,adjust_landscape,demolish,check_cctv,install_cctv,repair_cctv,install_light,repair_light,warning_label,coordinate_police,traffic_officer,related_agencies,safety_equipment,d_data,punishment,pave_mainten,legal_action,other_spec2,adddate,updatedate
68,33,2564,กรุงเทพตะวันออก,ลาดกระบัง,14,12,2,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,6,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,14,0,12,1,0,0,11,0,2,0,0,10,0,0,0,0,0,0,0,2,0,0,0,0,0,14,0,3,3,0,12,2,0,9,0,5,0,0,0,0,0,0,0,0,0,2021-03-25T00:00:00,2021-03-25T00:00:00
69,32,2564,กรุงเทพตะวันออก,มีนบุรี,4,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2021-03-25T00:00:00,2021-03-25T00:00:00
70,31,2564,กรุงเทพตะวันออก,ประเวศ,9,8,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,7,1,0,0,0,0,1,1,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,4,0,8,0,0,0,0,7,7,2,0,0,0,0,0,0,0,2021-03-25T00:00:00,2021-03-25T00:00:00
71,30,2564,กรุงเทพตะวันออก,บึงกุ่ม,7,6,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,2,1,0,0,4,0,1,2,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,7,5,4,0,0,4,4,0,5,0,7,0,0,0,0,0,0,0,0,0,2021-03-25T00:00:00,2021-03-25T00:00:00
72,29,2564,กรุงเทพตะวันออก,บางกะปิ,9,7,1,1,0,0,0,0,0,2,0,0,1,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,1,0,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,3,0,9,0,9,5,9,0,4,0,0,0,0,0,0,0,0,2021-03-25T00:00:00,2021-03-25T00:00:00
73,28,2564,กรุงเทพตะวันออก,คันนายาว,6,6,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,3,3,0,5,1,0,0,6,6,0,0,0,0,0,0,0,0,0,2021-03-25T00:00:00,2021-03-25T00:00:00
74,27,2564,กรุงเทพตะวันออก,คลองสามวา,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,1,0,0,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,2,2,1,0,0,2,0,0,0,2,2,0,0,2,0,0,0,0,0,0,2021-03-25T00:00:00,2021-03-25T00:00:00
75,26,2564,กรุงเทพกลาง,ห้วยขวาง,6,6,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6,1,1,0,0,0,0,0,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2021-03-25T00:00:00,2021-03-25T00:00:00
76,25,2564,กรุงเทพกลาง,สัมพันธวงศ์,7,7,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,7,0,7,0,0,0,7,0,7,0,0,7,0,0,0,0,0,0,0,0,2021-03-25T00:00:00,2021-03-25T00:00:00
77,24,2564,กรุงเทพกลาง,วังทองหลาง,4,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,1,0,0,0,2,0,0,4,1,1,0,0,4,0,4,0,4,4,0,0,0,0,0,0,0,0,0,2021-03-25T00:00:00,2021-03-25T00:00:00
